title,url,dtype,abstract,content,source,pubtime,medianame,collecttime,channel
岐山县委书记张海建检查指导城市建设工作,http://www.baoji.gov.cn/site/1/html/51/121/274278.htm,news,"宝鸡市政府公众信息网  8小时前8月26日,县委书记张海建、县委常委、副县长巨文利带领县委办、县住建局、凤鸣镇主要负责同志,检查指导城市建设工作。 张海建一行先后来到凤鸣东路步行街、召公路...  百度快照","<p style=""text-align: center""><img alt="""" src=""http://www.qishan.gov.cn/uploadfiles/image/20150827/20150827084201_3060.jpg""/></p><p>　　8月26日，县委书记张海建、县委常委、副县长巨文利带领县委办、县住建局、凤鸣镇主要负责同志，检查指导城市建设工作。</p><p>　　张海建一行先后来到凤鸣东路步行街、召公路、太平路北段、天柱路北段、怀邠路北段以及周原广场等工程建设现场进行查看。每到一处，张海建都详细了解工程规划设计、建设进展情况及工作中遇到的困难和问题，对下一步工作提出具体要求。</p><p>　　张海建指出，城市建设工程是事关全县长远发展、事关群众切身利益的大事、要事。今年以来，各有关部门紧密配合、扎实工作，我县城市建设工作成效明显。张海建要求，要突出周文化特色，创新理念，注重细节，统一沿街建筑物立面、门面店牌和公共设施色调、风格，做到设计到位、施工质量到位、建设效果到位、施工进度到位，全面加快凤鸣文化旅游街区建设进度。同时，要按照打造“一街一景”的目标，严把质量关，切实做好美化、亮化、绿化和配套设施建设等工作，加快县城道路工程建设进度，为广大群众创造整洁、美丽、安全、舒适的道路通行环境，全力推动城市建设再上新台阶。</p>",宝鸡市政府公众信息网,2015-08-28 08:53, ,2015-08-28 16:53,Search engine
天津港爆炸事故遇难人数升至146人 失联27人,http://www.chinanews.com/gn/2015/08-28/7495412.shtml,news,"中国新闻网  39分钟前天津港爆炸事故遇难人数升至146人失联27人微博截图中新网8月28日电 据天津市人民政府新闻办公室微博“天津发布”消息,天津港“8·12”瑞海公司危险品仓库特别重大...  百度快照","中国新闻网  39分钟前天津港爆炸事故遇难人数升至146人失联27人微博截图中新网8月28日电 据天津市人民政府新闻办公室微博“天津发布”消息,天津港“8·12”瑞海公司危险品仓库特别重大...  ",中国新闻网,2015-08-28 16:14, ,2015-08-28 16:53,Search engine
为扶贫 第一书记当起“推销员”,http://www.wenming.cn/xj_pd/xjdx/201508/t20150828_2825601.shtml,news,"中国文明网  8小时前自从在广西卫视公益节目《第一书记》“露脸”后,广西宁明县立门村第一书记张杨的手机连日来几乎被打爆了,有大学毕业生表示愿意到村里的小学当老师,有上海的投资...  70条相同新闻  -  百度快照","<p align=""center""><strong><font color=""#800000"">广西70多位贫困村驻村干部上电视求帮扶 </font></strong></p><p>　　自从在广西卫视公益节目《第一书记》“露脸”后，广西宁明县立门村第一书记张杨的手机连日来几乎被打爆了，有大学毕业生表示愿意到村里的小学当老师，有上海的投资公司询问如何加盟村里的边贸物流园……</p><p>　　“电视推销”吸引投资2000万元</p><p>　　2012年，广西创新扶贫举措，先后选派了3000名机关干部到最贫困的3000个村庄，担任驻村第一书记，帮助当地寻找脱贫致富的办法。张杨是其中一位。这位清华大学硕士毕业生，派出单位是广西壮族自治区外事办公室，自从去年春天进驻位于中越边境的立门村，一直在琢磨村子的出路。</p><p>　　“村里人年平均收入不到2300块钱，有国家政策兜底，基本生活不用愁，但要过好日子还得动起来。”张杨说，“根据国家政策，边民有每人每天8000元的免税额，我们打算带村民成立边贸物流园，进口越南木薯、搞运输，提供装卸、饮食住宿等服务。”节目录制现场，多家企业负责人对他的介绍很感兴趣，纷纷询问。</p><p>　　南宁市马山县古寨瑶族加显村驻村第一书记庞雪，在节目中推销村里的山银花，如今已经联系到对口的爱心企业，山银花基地正在建设；桂林市恭城瑶族自治县门楼村驻村第一书记蒋春林做完节目后，广西鑫辉集团与门楼村签署了158万元的合作协议。</p><p>　　截至目前，共有70多位第一书记参加节目，60多个贫困村寨通过节目获得社会各界的帮助。据统计，贫困村扶贫产业项目获得的各种形式的扶贫捐助金额和意向投资款达到2000余万元，贫困孩子获得善款1300多万元。</p><p>　　“扶贫要‘造血’，赚可持续的钱”</p><p>　　有人质疑，毕竟是机关干部，上电视录节目会不会太抛头露面？在节目组找到张杨时，他的确有一些顾虑，“但随着爱店口岸升级为国际一类口岸，我们这里的北山边贸互市点也迎来一个发展的机遇，我们需要大范围的宣传和外界支持，我不能因为自己的一些小顾虑而耽误了村子的脱贫致富。”</p><p>　　《第一书记》节目制片人梁家鸿介绍，大多数第一书记年龄在30至50岁之间，“一开始，都比较抗拒上电视，但看到节目真能帮助村子发展，态度就热情了很多。大家在一起探索创新扶贫、精准扶贫，这不是一场秀。”</p><p>　　如此高调扶贫，会不会给地方抹黑？“中国是前进中的大国，既有发达富裕的都市，也有贫穷落后的山区，节目里反映的是真实的中国。我们肯定政府的扶贫投入，但要致富，第一书记们需要多渠道的支持。”梁家鸿说。</p><p>　　“政府、社会上的公益力量很大，但光给钱给物不行，要‘造血’，让贫困人口赚有尊严的钱、可持续的钱。”张杨认为，开发本地潜能，帮村民就近找活儿干，还能让留守家庭团聚。他的观点代表了很多第一书记上电视的初衷。（巩育华）</p>",中国文明网,2015-08-28 08:53, ,2015-08-28 16:53,Search engine
14岁男孩去学校报名后失联5天 全城搜索民警在客车站找到他,http://edu.gog.com.cn/system/2015/08/28/014515023.shtml,news,"金黔在线  7小时前热心市民纷纷帮忙寻找,还在微信、微博上转发消息,经过众人全城大搜索后,25日下午巡逻民警在镇远汽车站一个角落里发现一名又黑又瘦的少年,一对比,发现正是失联了5天...  2条相同新闻  -  百度快照","14岁男孩去学校报名后失联5天 全城搜索民警在客车站找到他-失联,男孩,搜索,民警,找到-多彩贵州网教育",金黔在线,2015-08-28 09:53, ,2015-08-28 16:53,Search engine
怀仁县委书记与矿长谈心促安全,http://www.sx.xinhuanet.com/dfzx/2015-08/28/c_1116395522.htm,news,"新华网山西频道  3小时前    近日,怀仁县委书记齐海斌专门主持召开与该县各煤矿董事长、矿长进行谈心对话的主题会议,以此进一步推动当地煤矿企业始终牢固树立安全生产红线意识,始终把...  百度快照","<span class=""a15""></span>　 <p>    近日，怀仁县委书记齐海斌专门主持召开与该县各煤矿董事长、矿长进行谈心对话的主题会议，以此进一步推动当地煤矿企业始终牢固树立安全生产红线意识，始终把保护矿工生命安全放在首位，不折不扣全面履行安全生产职责。</p><p>    早在8月19日，该县县委书记齐海斌在带领煤炭、安监等相关部门负责人深入该县芦子沟煤业、砂石煤业等煤矿生产一线进行安全生产检查的基础上，此次召开与各煤矿董事长和矿长谈心对话会议，目的就是通过谈心对话，进一步强化该县县域各煤矿矿长的安全意识，使他们充分认识当前安全生产面临的严峻形势，正确判断安全生产态势，做到经营越困难的时候越要重视安全生产，并始终牢固树立“发展决不能以牺牲人的生命为代价”这条红线意识，从思想上高度重视安全生产，切实扛起煤炭企业的主体责任，做到安全投入到位、安全措施到位、领导分工到位，以高度的政治责任感和真抓实干的行动全面认真贯彻落实中央、省、市关于安全生产的相关要求，不断强化安全生产管理，努力形成上下一致，同力同为抓安全生产的强大氛围，努力达到人员零死亡、管理零失误、瓦斯零超限、设备零缺陷、隐患零容忍，安全投入不欠账、安全标准不降低、安全管理不削弱、安全意识不削弱，安全隐患排查整改及时到位，安全生产长效工作机制在整改中得到进一步完善的良好效果。（通讯员李斌）</p><br/>",新华网山西频道,2015-08-28 13:53, ,2015-08-28 16:53,Search engine
我县召开党委书记计划生育工作会议,http://www.huoqiu.gov.cn/Tmp/News_wenzhang.shtml,news,"霍邱网  1小时前8月27日,我县召开党委书记计划生育工作会议。县委副书记张克定主持会议并进话。县委常委、副县长孙玉俊作工作报告。  张克定在讲话中要求,一要认清形势。清醒...  2条相同新闻  -  百度快照","                   版权所有：霍邱县人民政府 霍邱县人民政府主办 霍邱县电子政务办公室承办<br/>       地址：霍邱县人民政府大院 邮编：237400 电话：0564-6080981、6080923 传真：0564-6080972 邮箱：ahhqdzb@126.com<br/>皖icp备13009396号 访问 <span style=""color:red; font-weight:bold;""></span> 人次 ",霍邱网,2015-08-28 15:53, ,2015-08-28 16:53,Search engine
全国团县委书记培训班在中国青年政治学院举办,http://www.gx211.com/news/2015828/n9441291006.html,news,"中国高校之窗  2小时前8月16日至21日,由团中央组织部主办, 中国青年政治学院 教育培训学院轮训部承办的全国团县委书记培训班在 中国青年政治学院 举办,来自全国28个省、直辖市、自治区...  百度快照","<p>8月16日至21日，由团中央组织部主办， 中国青年政治学院 教育培训学院轮训部承办的全国团县委书记培训班在 中国青年政治学院 举办，来自全国28个省、直辖市、自治区的114名新任职县级团委书记、解放军青年干部及团中央19名新入职的工作人员参加了培训。本期培训班也是中央团校2015年团干部教育培训的计划内重点班次。</p><p>本期培训班旨在深入学习领会中央群团工作会议精神，认真学习团的历史和工作理论，拓宽视野，充实知识，促进交流，活化共青团工作的内容、方式和方法，提升团干部驾驭基层共青团工作的能力和水平，推动团的基层组织建设。</p><p align=""center""><img alt="""" class="""" height=""265"" src=""/uploadimage/fckupimg/201508283036.jpg"" width=""450""/></p><p> 中国青年政治学院 党委书记倪邦文，团中央组织部副部长吕伟，组织部干部一处处长王强、干部教育处副处长李江波、朱书文及 中国青年政治学院 教育培训学院院长萨仁高娃等看望了全体学员并分别参加培训班开班、结业和相关活动。</p><p>吕伟出席培训班开班仪式并讲话，倪邦文为培训班作了首场专题讲座。</p><p>吕伟在讲话中说，举办本次培训班是希望大家一要练就过硬的本领，团县委是开展共青团工作的关键一环，团县委书记要练就过硬的政治素质，心中要有党、有民、有责、有戒。二要练就过硬的业务素质，线上线下相结合，眼光向内与向外相结合，最先一公里和最后一公里相结合，突出服务引领，凝聚最广大的普通青年在改革发展的第一线建功立业；强化基层组织建设，维护好青少年的合法权益。三要练就过硬的工作作风和学风，工作中务必做到理论联系实际，克服共青团工作的机关化、行政化、娱乐化和贵族化的工作作风。</p><p>倪邦文围绕如何学习习近平总书记系列重要讲话精神，落实中央群团工作会议精神和加强共青团组织建设等内容，为学员作了首场专题辅导。</p><p>团中央统战部部长刘佳晨、学校部副部长石新明、少年部副部长顾淑华及团中央组织部、宣传部、城市青年工作部、权益部、志愿者工作部等部门的负责同志分别走进培训讲堂，就各自负责领域的工作面对面地与全国团县委书记进行了专题解读和交流。 中国青年政治学院 轮训部还特别邀请了中央党校和 中国青年政治学院 的专家教授讲授团史和党风廉政工作，精心组织了多学科视角下的共青团工作、情景模拟等课程。 中国青年政治学院 优秀师资团队走进培训班，从各自的学科视角对共青团工作进行了分析解读。</p><p>为了让学员们更快地熟悉起来，加强团队协作，培训班的第一课特别安排了“破冰之旅”团队建设。</p><p>培训班最后阶段，本着以考促学、检验培训效果的目的，组织了一次共青团干部基础知识结业考试，全体学员以优异的考试成绩完成了结业。</p><p>王强、萨仁高娃出席结业仪式，与学员们一同听取了学员代表培训心得交流并为优秀学员颁发了荣誉证书，为全体学员颁发了结业证书。</p><p>结业仪式上，团县委书记代表在发言中深深感谢团中央和中央团校为全国的基层团干部搭建了重要的工作交流平台，并表示，作为新任职的团县委书记，将以本期培训班为新的起点、新的动力，进一步加强学习，努力实践，勤奋工作，奋力开拓，吸取兄弟单位的良好工作经验，为回去后更好地做好基层共青团工作汲取了能量。</p>",中国高校之窗,2015-08-28 14:53, ,2015-08-28 16:53,Search engine
河南今年7市调整市委书记 18市一把手60后占一半,http://www.ha.xinhuanet.com/hnxw/2015-08/28/c_1116404128.htm,news,"新华网河南频道  1小时前    今年以来,河南有7个省辖市调整了市委书记,新上任的市委书记分别是:开封市委书记吉炳伟、濮阳市委书记何雄、鹤壁市委书记范修芳、新乡市委书记舒庆、...  7条相同新闻  -  百度快照","<span id=""zoom""><p>    今年以来，河南有7个省辖市调整了市委书记，新上任的市委书记分别是：开封市委书记吉炳伟、濮阳市委书记何雄、鹤壁市委书记范修芳、新乡市委书记舒庆、商丘市委书记魏小东、三门峡市委书记赵海燕、济源市委书记宗长青。　　</p><p>    资料显示，河南省18市市委书记有12位籍贯在河南；50后、60后各占一半，他们中最年轻的是1969年出生的濮阳市委书记何雄。</p><p>  <strong>  郑州市委书记：吴天君</strong></p><img alt=""河南今年7市调整市委书记 18市一把手60后占一半 名单"" height=""303"" id=""{303024d2-6d02-44ad-86e8-88d424b9dec5}"" src=""1116404128_14407303723991n.jpg"" width=""421""/><p></p><p></p><p>    吴天君，男，汉族，河南省濮阳县人，1957年2月出生，1982年12月加入中国共产党，中国地质大学资源产业经济专业博士研究生。</p></span>",新华网河南频道,2015-08-28 15:53, ,2015-08-28 16:53,Search engine
[大连]大连港集团党委中心组学习习总书记系列讲话精神,http://www.moc.gov.cn/st2010/liaoning/ln_jiaotongxw/jtxw_wenzibd/201508/t20150828_1870651.html,news,"交通部  1小时前8月23日下午,大连港集团党委中心组成员组织专题学习,集中学习习近平总书记系...... 8月23日下午,大连港集团党委中心组成员组织专题学习,集中学习习近平总书记系列讲话...  百度快照",<p>　　8月23日下午，大连港集团党委中心组成员组织专题学习，集中学习习近平总书记系列讲话精神。党委书记付彬主持中心组学习，惠凯董事长作专题发言，并就吸取天津港“8.12”特重大事故教训，扎实做好集团安全生产工作进行了认真部署。集团副总师、安委会成员等也参加了本次中心组学习。</p><p>　　利用休息日召开专题会议、研究布置工作已经成为集团的常态。本次中心组学习利用星期日组织，充分体现了集团“五加二，白加黑”的工作作风。集团安全监察部传达了上级关于安全管理精神和相关工作要求。2013年6月中石油大连石化分公司发生爆炸、长春市宝源丰禽业有限公司发生特别重大火灾爆炸事故，2013年11月24日青岛中石化发生死亡62人的重大事故，今年“8.12”天津港特别重大火灾爆炸事故，习近平总书记均作出重要指示。惠凯董事长对习近平总书记数次关于安全生产重要指示精神进行了认真梳理，并结合实际畅谈体会。他说，抓安全工作必须像习总书记说的那样，坚持管业务必须管安全、管生产经营必须管安全，而且要党政同责、一岗双责、齐抓共管；必须健全安全监管体系，真正做到安全生产人人有责；对责任单位和人员必须严肃处理，要打到痛处，让他们真正痛定思痛、痛改前非，有效防止悲剧重演；安全工作任何时候都不能有丝毫的放松，必须如临深渊、如履薄冰、战战兢兢；人命关天，发展绝不能以牺牲人的生命为代价。我们在应急救援中一定要增强自我防护能力，坚持“先疏散、后研判、再救援”的原则，确保思想认识到位、组织领导到位、责任落实到位、措施保障到位、督促检查到位。严查事故隐患，全覆盖、零容忍，安全检查要注重实效，做到不发通知、不发通告，直接深入基层。</p><p>　　就全面加强集团安全工作惠凯董事长提出，要高度重视，加强领导，把思想统一到习近平总书记和各级领导关于安全生产讲话精神上来。安全生产工作没有终点，要永远站在起跑线上；要明确责任，牢固树立危机意识，牢记安全是第一责任，安全责任重于泰山，安全生产大于天，坚定不移地贯彻落实“党政同责、一岗双责、齐抓共管、失职追责”。全面做好集团安全生产工作要建设“一个体系”，抓牢“两个方面”，推进“三个统一”，落实“四个全面”，突出“五大环节”。具体来说，“一个体系”就是打造一整套安全管理标准和规范，进一步强化安全责任体系建设、安全管理组织体系建设、作业标准体系建设、专业救助体系建设，进一步提升制度的规范性；抓牢港区安全的“两个方面”，一是安全生产工作，二是反恐安保工作，要切实提高安全责任意识和反恐意识，学习专业化的安全知识、应急知识和反恐安保知识；全力推进“三个统一”，就是统一管理、统一标准、统一信息；落实“四个全面”，就是全面动员、全面培训、全面排查、全面整改；突出抓好“五大环节”，即制度落实、预防管控、应急救援、教育培训、反恐安保。惠凯董事长还强调，抓好安全工作要有“两个心”，即事业心和责任心，必须时时如履薄冰、如临深渊。</p><p>　　中心组学习制度是规范领导干部理论学习并取得实效的重要保证，也是形成促进领导干部自觉学习长效机制的必要措施。近期，集团两级中心组重点是学习习近平总书记系列讲话精神，与“三严三实”专题教育相结合，与“学讲话、讲诚信、懂规矩、守纪律、鼓士气、促振兴”大学习大讨论相结合，统筹安排部署、深度融合落实。集团党委书记付彬强调，要认真学习习总书记系列讲话精神，扎实做好全港的安全生产工作。要在全港以班组为单位开展安全生产大讨论活动，严格落实责任和制度，加强隐患排查，积极开展整改，确保万无一失。</p>,交通部,2015-08-28 15:53, ,2015-08-28 16:53,Search engine
契税十问十答及相关案例,http://www.ycwb.com/ePaper/ycwbdfb/html/2015-08/28/content_776212.htm,news,"金羊网  7小时前近年来,随着房地产市场的发展,房地产开发企业违规代收业主契税的情况较多,滞留、挪用甚至卷款潜逃的案件时有发生。为使纳税人了解掌握契税相关知识,广东省地方税务局...  10条相同新闻  -  百度快照",<p>　　■ 田亮昌 况舒敏 邢小华</p><p>　　近年来，随着房地产市场的发展，房地产开发企业违规代收业主契税的情况较多，滞留、挪用甚至卷款潜逃的案件时有发生。为使纳税人了解掌握契税相关知识，广东省地方税务局根据有关政策规定，编写了“契税十问十答及相关案例”宣传资料，供广大纳税人学习参考。</p><p>　　</p><p>　　1.问: 谁是契税的纳税义务人？</p><p>　　答：在中华人民共和国境内以受让、购买、受赠、交换等方式取得土地使用权、房屋所有权的单位和个人为契税的纳税人。</p><p>　　</p><p>　　2.问:契税的纳税义务发生时间和纳税期限有什么规定？</p><p>　　答：契税的纳税义务发生时间为纳税人签订土地使用权、房屋所有权转移合同的当天，或者纳税人取得其他具有土地使用权、房屋所有权转移合同性质凭证的当天。契税纳税人应当自纳税义务发生之日起10日内，向土地、房屋所在地的契税征收机关办理纳税申报，并在契税征收机关核定的期限内缴纳税款。</p><p>　　</p><p>　　3.问：契税的征收机关是哪个部门？</p><p>　　答：从2011年1月1日起，我省契税征收机关为土地、房屋所在地的地方税务局。</p><p>　　</p><p>　　4.问：除地方税务局作为契税的征收机关外，我省是否委托了其他单位，比如房地产开发企业代征契税？</p><p>　　答：根据《国家税务总局关于征收机关直接征收契税的通知》（国税发〔2004〕137号）规定，各级征收机关一律不得委托其他单位代征契税。因此，我省并无委托任何单位代征契税，任何私自代征契税的行为均属违规行为。</p><p>　　</p><p>　　5.问：我购买了一套商品房，可以委托房地产开发企业代办契税吗？</p><p>　　答：纳税人自行委托房地产开发企业或其他单位代为办理契税申报、缴纳事宜的，不免除纳税人的纳税义务；若未能按时、如实申报和缴纳税款的，纳税人须自行承担税收法律法规规定的法律责任以及相关的法律风险和经济风险。</p><p>　　</p><p>　　6.问：我委托了房地产开发企业代办契税申报事宜，会有什么风险吗？如果房地产开发企业没有按时代为缴税，会影响我吗？</p><p>　　答：纳税人委托房地产开发企业代办契税申报事宜，房地产开发企业可能存在超标准多收、滞留、挪用代理契税代收款以及进行虚假申报、逾期申报的情况，上述违规风险由纳税人自行承担。若房地产开发企业未能按时缴税，纳税人尚须承担按日加收滞纳税款万分之五的滞纳金。若房地产开发商在代为申报契税前携款失踪或破产倒闭，纳税人要另行向税务机关申报缴纳契税。</p><p>　　7.问：按照国家政策规定，我购买的房屋属于家庭唯一住房，在委托房地产开发企业代办契税时，其按照3%的税率收取了契税款，这样对吗？</p><p>　　答：不正确。按照规定，个人购买普通住房，且该住房属于家庭唯一住房的，减按1.5%的税率征收契税；个人购买90平方米及以下普通住房，且该住房属于家庭唯一住房的，减按1％税率征收契税。因此，纳税人如符合上述条件的，向契税征收机关提出减免申报，可按规定享受税收减免。</p><p>　　</p><p>　　8.问：如果我发现房地产开发企业存在未经纳税人同意擅自代理、强制代理契税业务，超标准多收、滞留、挪用代理契税代收款，违规使用员工个人银行账户代收款等行为，是否可以进行举报？</p><p>　　答：如发现任何单位和个人有违反国家税收法律法规行为的，均可向当地地方税务机关进行举报。</p><p>　　9.问：经查实确属违法违规行为的，税务机关有什么处罚措施吗？</p><p>　　答：按照《中华人民共和国税收征收管理法》规定，对未经税务机关依法委托征收税款的，责令退还收取的财物，依法给予行政处分或者行政处罚；致使他人合法权益受到损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。</p><p>　　</p><p>　　10.问：我想了解更多契税的相关政策和指引，可通过哪些途径获取？</p><p>　　答：如纳税人想了解更多契税相关知识，以及其他相关税收政策，可登陆广东省地方税务局门户网站（www.gdltax.gov.cn）查阅，或拨打我局咨询服务热线12366-2，以及向当地地方税务机关进行咨询。</p><p>　　</p><p>　　契税相关案例：</p><p>　　开发商多收契税</p><p>　　据《法制周报》报道，湖南某地开发商在售房时向购房业主统一收取了4%的契税，后开发商根据契税优惠政策为购房者交了一至三个点的契税，但发票一直压在开发商手上，未转交购房者，企图隐瞒退钱的事实。事后购房者才得知，根据相关政策，其实只需缴纳不到3%的契税。而当业主要求开发商退还多收的契税，却遭到开发商的一再推诿。</p><p>　　</p><p>　　开发商挪用契税</p><p>　　据《北京晚报》报道，购房者李先生跟开发商签订合同，贷款购买了一套商品房，开发商代收了契税并承诺为李先生办理房屋产权证书。李先生收房入住后开发商始终没有为其办理房产证，后李先生到法院起诉开发商，法院判决如果开发商怠于履行，业主可以自行办理，所需费用由开发商承担。最终，李先生无奈之下自己又交了一份契税、公维基金，奔波数月，才拿到了房产证。李先生转过头来将开发商告上法院，要求退还代收款20000余元。但由于开发商已将代收的契税挪为他用，且因为后续资金链断裂已经陷入债务危机，名下物业多已被查封，李先生最终能否获得赔偿还是未知数。</p><p>　　</p><p>　　开发商携款失踪</p><p>　　据《江西都市报》报道，2015年3月，南昌某小区物业公司大门紧锁，一纸倡议维权的“倡议书”贴在物业公司门上。令人吃惊的是，原来小区有563套房产没有办理房产证，200多万元契税却被开发商卷走。有业主称，开发商涉经济纠纷，小区部分房产被法院冻结。政府已经成立工作组进驻小区协调处理此事。事后了解到，开发商买了一块地，便拿房产给对方抵款，但是房产一直没交付。对方将开发商告上了法院，法院将没有备案的房产进行了冻结。</p>,金羊网,2015-08-28 09:53, ,2015-08-28 16:53,Search engine
